,Path,Fold,Family,Instrument (abbr.),Instrument (in full),Technique (abbr.),Technique (in full),Pitch,Pitch ID,Dynamics,Dynamics ID,Instance ID,String ID (if applicable),Needed digital retuning
10,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-E2-pp-N-T25u.wav,1,Brass,BTb,Bass Tuba,ord,ordinario,E2,40,pp,0,0,,True
11,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-F2-pp-N-T25u_R100u.wav,3,Brass,BTb,Bass Tuba,ord,ordinario,F2,41,pp,0,0,,True
12,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-F#2-pp-N-T14u.wav,3,Brass,BTb,Bass Tuba,ord,ordinario,F#2,42,pp,0,0,,True
13,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-G2-pp-N-N.wav,1,Brass,BTb,Bass Tuba,ord,ordinario,G2,43,pp,0,0,,False
14,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-G#2-pp-N-T16u.wav,0,Brass,BTb,Bass Tuba,ord,ordinario,G#2,44,pp,0,0,,True
15,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-A2-pp-N-T15u.wav,0,Brass,BTb,Bass Tuba,ord,ordinario,A2,45,pp,0,0,,True
16,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-A#2-pp-N-N.wav,3,Brass,BTb,Bass Tuba,ord,ordinario,A#2,46,pp,0,0,,False
17,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-B2-pp-N-T11d.wav,1,Brass,BTb,Bass Tuba,ord,ordinario,B2,47,pp,0,0,,True
18,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-C3-pp-N-T11d.wav,4,Brass,BTb,Bass Tuba,ord,ordinario,C3,48,pp,0,0,,True
19,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-C#3-pp-N-N.wav,2,Brass,BTb,Bass Tuba,ord,ordinario,C#3,49,pp,0,0,,False
20,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-D3-pp-N-N.wav,2,Brass,BTb,Bass Tuba,ord,ordinario,D3,50,pp,0,0,,False
21,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-D#3-pp-N-N.wav,1,Brass,BTb,Bass Tuba,ord,ordinario,D#3,51,pp,0,0,,False
22,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-E3-pp-N-N.wav,4,Brass,BTb,Bass Tuba,ord,ordinario,E3,52,pp,0,0,,False
23,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-F3-pp-N-N.wav,3,Brass,BTb,Bass Tuba,ord,ordinario,F3,53,pp,0,0,,False
24,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-F#3-pp-N-N.wav,4,Brass,BTb,Bass Tuba,ord,ordinario,F#3,54,pp,0,0,,False
25,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-G3-pp-N-T14d.wav,3,Brass,BTb,Bass Tuba,ord,ordinario,G3,55,pp,0,0,,True
26,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-G#3-pp-N-N.wav,0,Brass,BTb,Bass Tuba,ord,ordinario,G#3,56,pp,0,0,,False
27,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-A3-pp-N-N.wav,2,Brass,BTb,Bass Tuba,ord,ordinario,A3,57,pp,0,0,,False
28,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-A#3-pp-N-T13d.wav,4,Brass,BTb,Bass Tuba,ord,ordinario,A#3,58,pp,0,0,,True
29,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-B3-pp-N-T14d.wav,0,Brass,BTb,Bass Tuba,ord,ordinario,B3,59,pp,0,0,,True
30,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-C4-pp-N-N.wav,4,Brass,BTb,Bass Tuba,ord,ordinario,C4,60,pp,0,0,,False
31,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-C#4-pp-N-N.wav,1,Brass,BTb,Bass Tuba,ord,ordinario,C#4,61,pp,0,0,,False
32,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-D4-pp-N-N.wav,4,Brass,BTb,Bass Tuba,ord,ordinario,D4,62,pp,0,0,,False
33,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-D#4-pp-N-N.wav,4,Brass,BTb,Bass Tuba,ord,ordinario,D#4,63,pp,0,0,,False
34,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-E4-pp-N-N.wav,4,Brass,BTb,Bass Tuba,ord,ordinario,E4,64,pp,0,0,,False
35,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-F4-pp-N-N.wav,4,Brass,BTb,Bass Tuba,ord,ordinario,F4,65,pp,0,0,,False
36,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-F#1-mf-N-T18u.wav,1,Brass,BTb,Bass Tuba,ord,ordinario,F#1,30,mf,2,0,,True
37,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-G1-mf-N-N.wav,2,Brass,BTb,Bass Tuba,ord,ordinario,G1,31,mf,2,0,,False
38,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-G#1-mf-N-T18u.wav,1,Brass,BTb,Bass Tuba,ord,ordinario,G#1,32,mf,2,0,,True
39,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-A1-mf-N-T33u.wav,2,Brass,BTb,Bass Tuba,ord,ordinario,A1,33,mf,2,0,,True
40,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-A#1-mf-N-N.wav,0,Brass,BTb,Bass Tuba,ord,ordinario,A#1,34,mf,2,0,,False
41,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-B1-mf-N-T16u.wav,0,Brass,BTb,Bass Tuba,ord,ordinario,B1,35,mf,2,0,,True
42,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-C2-mf-N-T23u.wav,2,Brass,BTb,Bass Tuba,ord,ordinario,C2,36,mf,2,0,,True
43,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-C#2-mf-N-N.wav,3,Brass,BTb,Bass Tuba,ord,ordinario,C#2,37,mf,2,0,,False
44,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-D2-mf-N-T15u.wav,1,Brass,BTb,Bass Tuba,ord,ordinario,D2,38,mf,2,0,,True
45,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-D#2-mf-N-T34u.wav,1,Brass,BTb,Bass Tuba,ord,ordinario,D#2,39,mf,2,0,,True
46,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-E2-mf-N-T27u.wav,2,Brass,BTb,Bass Tuba,ord,ordinario,E2,40,mf,2,0,,True
47,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-F2-mf-N-T24u.wav,3,Brass,BTb,Bass Tuba,ord,ordinario,F2,41,mf,2,0,,True
48,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-F#2-mf-N-T19u.wav,1,Brass,BTb,Bass Tuba,ord,ordinario,F#2,42,mf,2,0,,True
49,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-G2-mf-N-T15u.wav,2,Brass,BTb,Bass Tuba,ord,ordinario,G2,43,mf,2,0,,True
50,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-G#2-mf-N-T26u.wav,0,Brass,BTb,Bass Tuba,ord,ordinario,G#2,44,mf,2,0,,True
51,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-A2-mf-N-T29u.wav,0,Brass,BTb,Bass Tuba,ord,ordinario,A2,45,mf,2,0,,True
52,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-A#2-mf-N-T29u.wav,2,Brass,BTb,Bass Tuba,ord,ordinario,A#2,46,mf,2,0,,True
53,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-B2-mf-N-T17u.wav,2,Brass,BTb,Bass Tuba,ord,ordinario,B2,47,mf,2,0,,True
54,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-C3-mf-N-T28u.wav,0,Brass,BTb,Bass Tuba,ord,ordinario,C3,48,mf,2,0,,True
55,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-C#3-mf-N-T25u.wav,0,Brass,BTb,Bass Tuba,ord,ordinario,C#3,49,mf,2,0,,True
56,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-D3-mf-N-T16u.wav,3,Brass,BTb,Bass Tuba,ord,ordinario,D3,50,mf,2,0,,True
57,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-D#3-mf-N-T25u.wav,4,Brass,BTb,Bass Tuba,ord,ordinario,D#3,51,mf,2,0,,True
58,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-E3-mf-N-T23u.wav,3,Brass,BTb,Bass Tuba,ord,ordinario,E3,52,mf,2,0,,True
59,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-F3-mf-N-N.wav,1,Brass,BTb,Bass Tuba,ord,ordinario,F3,53,mf,2,0,,False
60,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-F#3-mf-N-N.wav,2,Brass,BTb,Bass Tuba,ord,ordinario,F#3,54,mf,2,0,,False
61,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-G3-mf-N-T14u.wav,4,Brass,BTb,Bass Tuba,ord,ordinario,G3,55,mf,2,0,,True
62,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-G#3-mf-N-T11u.wav,3,Brass,BTb,Bass Tuba,ord,ordinario,G#3,56,mf,2,0,,True
63,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-A3-mf-N-N.wav,2,Brass,BTb,Bass Tuba,ord,ordinario,A3,57,mf,2,0,,False
64,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-A#3-mf-N-T14u.wav,3,Brass,BTb,Bass Tuba,ord,ordinario,A#3,58,mf,2,0,,True
65,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-B3-mf-N-N.wav,2,Brass,BTb,Bass Tuba,ord,ordinario,B3,59,mf,2,0,,False
66,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-C4-mf-N-N.wav,4,Brass,BTb,Bass Tuba,ord,ordinario,C4,60,mf,2,0,,False
67,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-C#4-mf-N-N.wav,2,Brass,BTb,Bass Tuba,ord,ordinario,C#4,61,mf,2,0,,False
68,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-D4-mf-N-N.wav,3,Brass,BTb,Bass Tuba,ord,ordinario,D4,62,mf,2,0,,False
69,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-D#4-mf-N-N.wav,1,Brass,BTb,Bass Tuba,ord,ordinario,D#4,63,mf,2,0,,False
70,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-E4-mf-N-T11d.wav,4,Brass,BTb,Bass Tuba,ord,ordinario,E4,64,mf,2,0,,True
71,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-F4-mf-N-N.wav,4,Brass,BTb,Bass Tuba,ord,ordinario,F4,65,mf,2,0,,False
72,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-F#1-ff-N-N.wav,3,Brass,BTb,Bass Tuba,ord,ordinario,F#1,30,ff,4,0,,False
73,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-G1-ff-N-T15d.wav,4,Brass,BTb,Bass Tuba,ord,ordinario,G1,31,ff,4,0,,True
74,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-G#1-ff-N-T12u.wav,3,Brass,BTb,Bass Tuba,ord,ordinario,G#1,32,ff,4,0,,True
75,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-A1-ff-N-T19d.wav,0,Brass,BTb,Bass Tuba,ord,ordinario,A1,33,ff,4,0,,True
76,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-A#1-ff-N-T30d.wav,0,Brass,BTb,Bass Tuba,ord,ordinario,A#1,34,ff,4,0,,True
77,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-B1-ff-N-N.wav,0,Brass,BTb,Bass Tuba,ord,ordinario,B1,35,ff,4,0,,False
78,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-C2-ff-N-N.wav,1,Brass,BTb,Bass Tuba,ord,ordinario,C2,36,ff,4,0,,False
79,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-C#2-ff-N-N.wav,2,Brass,BTb,Bass Tuba,ord,ordinario,C#2,37,ff,4,0,,False
80,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-D2-ff-N-T13u.wav,1,Brass,BTb,Bass Tuba,ord,ordinario,D2,38,ff,4,0,,True
81,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-D#2-ff-N-N.wav,0,Brass,BTb,Bass Tuba,ord,ordinario,D#2,39,ff,4,0,,False
82,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-E2-ff-N-T10u.wav,1,Brass,BTb,Bass Tuba,ord,ordinario,E2,40,ff,4,0,,True
83,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-F2-ff-N-T15u.wav,2,Brass,BTb,Bass Tuba,ord,ordinario,F2,41,ff,4,0,,True
84,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-F#2-ff-N-N.wav,2,Brass,BTb,Bass Tuba,ord,ordinario,F#2,42,ff,4,0,,False
85,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-G2-ff-N-N.wav,0,Brass,BTb,Bass Tuba,ord,ordinario,G2,43,ff,4,0,,False
86,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-G#2-ff-N-N.wav,0,Brass,BTb,Bass Tuba,ord,ordinario,G#2,44,ff,4,0,,False
87,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-A2-ff-N-N.wav,0,Brass,BTb,Bass Tuba,ord,ordinario,A2,45,ff,4,0,,False
88,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-A#2-ff-N-T19u.wav,1,Brass,BTb,Bass Tuba,ord,ordinario,A#2,46,ff,4,0,,True
89,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-B2-ff-N-N.wav,0,Brass,BTb,Bass Tuba,ord,ordinario,B2,47,ff,4,0,,False
90,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-C3-ff-N-T18u.wav,3,Brass,BTb,Bass Tuba,ord,ordinario,C3,48,ff,4,0,,True
91,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-C#3-ff-N-N.wav,1,Brass,BTb,Bass Tuba,ord,ordinario,C#3,49,ff,4,0,,False
92,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-D3-ff-N-T15u.wav,4,Brass,BTb,Bass Tuba,ord,ordinario,D3,50,ff,4,0,,True
93,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-D#3-ff-N-T17u.wav,3,Brass,BTb,Bass Tuba,ord,ordinario,D#3,51,ff,4,0,,True
94,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-E3-ff-N-T16u.wav,0,Brass,BTb,Bass Tuba,ord,ordinario,E3,52,ff,4,0,,True
95,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-F3-ff-N-N.wav,3,Brass,BTb,Bass Tuba,ord,ordinario,F3,53,ff,4,0,,False
96,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-F#3-ff-N-N.wav,2,Brass,BTb,Bass Tuba,ord,ordinario,F#3,54,ff,4,0,,False
